Day,Control,Type,Batch,Duplicate,Step,Moisture_content_(%),MW_duration_(min),Measurement,L,a*,b*,,,
0,Y,Dry seed,NA,1,Initial,11,0,Color,51.14,5.61,25.95,,,
0,Y,Dry seed,NA,2,Initial,11,0,Color,50.33,5.8,25.52,,,
0,N,Seed,NA,1,After_hydration,39,0,Color,47.25,6.44,29.8,,,
0,N,Seed,NA,2,After_hydration,39,0,Color,46.47,6.64,29.71,,,
0,N,Seed,NA,1,After_hydration,21,0,Color,46.53,5.81,24.89,,,
0,N,Seed,NA,2,After_hydration,21,0,Color,45.97,6.26,26.64,,,
0,Y,Dry seed,NA,1,After_hydration,11,0,Color,51.14,5.61,25.95,,,
0,Y,Dry seed,NA,2,After_hydration,11,0,Color,50.33,5.8,25.52,,,
0,N,Dry seed,NA,1,Initial,21,0,Color,51.14,5.61,25.95,,,
0,N,Dry seed,NA,2,Initial,21,0,Color,50.33,5.8,25.52,,,
0,N,Dry seed,NA,1,Initial,39,0,Color,51.14,5.61,25.95,,,
0,N,Dry seed,NA,2,Initial,39,0,Color,50.33,5.8,25.52,,,
0,N,Seed,1,1,MW,39,5,Color,46.23,5.27,27.31,,,
0,N,Seed,1,2,MW,39,5,Color,44.77,6.2,27.23,,,
0,N,Seed,2,1,MW,39,5,Color,46.06,6.13,27.92,,,
0,N,Seed,2,2,MW,39,5,Color,48.03,5.9,28.77,,,
0,N,Seed,3,1,MW,39,5,Color,48.1,5.63,25.41,,,
0,N,Seed,3,2,MW,39,5,Color,47.93,6.06,29.1,,,
0,N,Seed,1,1,MW,39,10,Color,44.79,5.47,25.37,,,
0,N,Seed,1,2,MW,39,10,Color,45.42,6.23,27.26,,,
0,N,Seed,2,1,MW,39,10,Color,45.88,6.15,27.68,,,
0,N,Seed,2,2,MW,39,10,Color,45.23,5.7,25.71,,,
0,N,Seed,3,1,MW,39,10,Color,48.86,6.36,29.81,,,
0,N,Seed,3,2,MW,39,10,Color,48.99,6.77,30.3,,,
0,N,Seed,1,1,MW,21,5,Color,49.19,6.14,28.98,,,
0,N,Seed,1,2,MW,21,5,Color,49.36,6.05,27.47,,,
0,N,Seed,2,1,MW,21,5,Color,45.58,5.85,26.28,,,
0,N,Seed,2,2,MW,21,5,Color,46.81,6.04,27.36,,,
0,N,Seed,3,1,MW,21,5,Color,47.63,6.1,26.8,,,
0,N,Seed,3,2,MW,21,5,Color,48.21,5.69,26.62,,,
0,N,Seed,1,1,MW,21,10,Color,47.89,6.13,26.15,,,
0,N,Seed,1,2,MW,21,10,Color,48.71,5.44,25.53,,,
0,N,Seed,2,1,MW,21,10,Color,47.58,5.89,26.13,,,
0,N,Seed,2,2,MW,21,10,Color,48.07,6.52,27.15,,,
0,N,Seed,3,1,MW,21,10,Color,45.2,6.66,25.85,,,
0,N,Seed,3,2,MW,21,10,Color,44.97,6.85,26.49,,,
0,N,Seed,1,1,MW,11,5,Color,47.12,6.43,25.04,,,
0,N,Seed,1,2,MW,11,5,Color,47.58,5.29,24.2,,,
0,N,Seed,2,1,MW,11,5,Color,49.42,5.12,25.46,,,
0,N,Seed,2,2,MW,11,5,Color,50.56,4.97,25.56,,,
0,N,Seed,3,1,MW,11,5,Color,48.11,6.01,27.08,,,
0,N,Seed,3,2,MW,11,5,Color,49.31,5.41,26.96,,,
0,N,Seed,1,1,MW,11,10,Color,50.32,6.3,27.17,,,
0,N,Seed,1,2,MW,11,10,Color,48.22,6.39,26.36,,,
0,N,Seed,2,1,MW,11,10,Color,49.67,6.13,26.86,,,
0,N,Seed,2,2,MW,11,10,Color,49.02,6.26,27.22,,,
0,N,Seed,3,1,MW,11,10,Color,49.82,7.02,27.93,,,
0,N,Seed,3,2,MW,11,10,Color,47.95,7.08,27.63,,,
0,N,Seed,1,1,After_drying,39,5,Color,46.02,5.51,26.35,,,
0,N,Seed,1,2,After_drying,39,5,Color,44.98,5.89,26.55,,,
0,N,Seed,2,1,After_drying,39,5,Color,44.7,5.63,25.79,,,
0,N,Seed,2,2,After_drying,39,5,Color,48.31,5.8,27.69,,,
0,N,Seed,3,1,After_drying,39,5,Color,46.49,5.54,26.92,,,
0,N,Seed,3,2,After_drying,39,5,Color,46.55,6.38,28.03,,,
0,N,Flour,1,1,After_drying,39,5,Color,56.11,0.48,17.03,,,
0,N,Flour,1,2,After_drying,39,5,Color,56.34,0.8,18.53,,,
0,N,Flour,2,1,After_drying,39,5,Color,58.87,0.75,19.47,,,
0,N,Flour,2,2,After_drying,39,5,Color,58.23,0.61,18.41,,,
0,N,Flour,3,1,After_drying,39,5,Color,58.75,0.83,19.17,,,
0,N,Flour,3,2,After_drying,39,5,Color,58.74,0.56,18.1,,,
0,N,Seed,1,1,After_drying,39,10,Color,45.04,6.02,26.07,,,
0,N,Seed,1,2,After_drying,39,10,Color,45.78,5.89,25.84,,,
0,N,Seed,2,1,After_drying,39,10,Color,46.54,5.52,26.07,,,
0,N,Seed,2,2,After_drying,39,10,Color,46.38,5.86,25.67,,,
0,N,Seed,3,1,After_drying,39,10,Color,45.65,5.79,25.97,,,
0,N,Seed,3,2,After_drying,39,10,Color,46.28,5.63,26.05,,,
0,N,Flour,1,1,After_drying,39,10,Color,58.8,0.78,18.17,,,
0,N,Flour,1,2,After_drying,39,10,Color,60.29,0.56,18.09,,,
0,N,Flour,2,1,After_drying,39,10,Color,59.55,0.27,16.79,,,
0,N,Flour,2,2,After_drying,39,10,Color,58.34,0.62,17.68,,,
0,N,Flour,3,1,After_drying,39,10,Color,60.29,0.63,17.9,,,
0,N,Flour,3,2,After_drying,39,10,Color,61.04,0.69,19.65,,,
0,N,Seed,1,1,After_drying,21,5,Color,47.14,5.42,25.06,,,
0,N,Seed,1,2,After_drying,21,5,Color,49.01,6.21,27.24,,,
0,N,Seed,2,1,After_drying,21,5,Color,47.07,6.06,26.46,,,
0,N,Seed,2,2,After_drying,21,5,Color,46.23,5.83,26.13,,,
0,N,Seed,3,1,After_drying,21,5,Color,48.76,5.48,25.98,,,
0,N,Seed,3,2,After_drying,21,5,Color,50.07,5.52,26.65,,,
0,N,Flour,1,1,After_drying,21,5,Color,61.14,0.93,19.18,,,
0,N,Flour,1,2,After_drying,21,5,Color,60.32,1.26,19.99,,,
0,N,Flour,2,1,After_drying,21,5,Color,58.25,0.79,17.09,,,
0,N,Flour,2,2,After_drying,21,5,Color,58.34,0.93,18.92,,,
0,N,Flour,3,1,After_drying,21,5,Color,60.93,1.02,18.31,,,
0,N,Flour,3,2,After_drying,21,5,Color,60.26,1.51,20.64,,,
0,N,Seed,1,1,After_drying,21,10,Color,48.74,5.73,26.45,,,
0,N,Seed,1,2,After_drying,21,10,Color,47.12,5.56,25.09,,,
0,N,Seed,2,1,After_drying,21,10,Color,46.9,5.82,24.9,,,
0,N,Seed,2,2,After_drying,21,10,Color,47.08,5.2,24.42,,,
0,N,Seed,3,1,After_drying,21,10,Color,47.04,6.39,25.59,,,
0,N,Seed,3,2,After_drying,21,10,Color,48.72,5.9,26.17,,,
0,N,Flour,1,1,After_drying,21,10,Color,58.65,1.15,17.67,,,
0,N,Flour,1,2,After_drying,21,10,Color,60.52,1.01,17.94,,,
0,N,Flour,2,1,After_drying,21,10,Color,57.7,1.58,19.2,,,
0,N,Flour,2,2,After_drying,21,10,Color,56.7,1.51,18.37,,,
0,N,Flour,3,1,After_drying,21,10,Color,57.16,1.54,18.14,,,
0,N,Flour,3,2,After_drying,21,10,Color,57.8,1.6,18.87,,,
0,N,Seed,1,1,After_drying,11,5,Color,49.72,5.38,25.38,,,
0,N,Seed,1,2,After_drying,11,5,Color,48.1,5.64,25.05,,,
0,N,Seed,2,1,After_drying,11,5,Color,51.32,5.19,26.26,,,
0,N,Seed,2,2,After_drying,11,5,Color,48.46,5.83,25.65,,,
0,N,Seed,3,1,After_drying,11,5,Color,48.75,6.01,24.96,,,
0,N,Seed,3,2,After_drying,11,5,Color,48.25,5.51,24.2,,,
0,N,Flour,1,1,After_drying,11,5,Color,62.63,1.26,19.6,,,
0,N,Flour,1,2,After_drying,11,5,Color,60.47,1.63,19.88,,,
0,N,Flour,2,1,After_drying,11,5,Color,60.99,1.08,18.81,,,
0,N,Flour,2,2,After_drying,11,5,Color,59.98,1.35,19.06,,,
0,N,Flour,3,1,After_drying,11,5,Color,59.3,1.38,18.47,,,
0,N,Flour,3,2,After_drying,11,5,Color,60.03,1.86,19.71,,,
0,N,Seed,1,1,After_drying,11,10,Color,47.15,6.61,24.87,,,
0,N,Seed,1,2,After_drying,11,10,Color,47.79,6.56,25.29,,,
0,N,Seed,2,1,After_drying,11,10,Color,48.79,5.91,25.61,,,
0,N,Seed,2,2,After_drying,11,10,Color,48.4,6.03,25.47,,,
0,N,Seed,3,1,After_drying,11,10,Color,47.81,6.02,25.29,,,
0,N,Seed,3,2,After_drying,11,10,Color,49.07,5.99,25.59,,,
0,N,Flour,1,1,After_drying,11,10,Color,61.08,1.58,18.1,,,
0,N,Flour,1,2,After_drying,11,10,Color,69.75,2.31,19.73,,,
0,N,Flour,2,1,After_drying,11,10,Color,57.89,1.81,18.88,,,
0,N,Flour,2,2,After_drying,11,10,Color,57.98,1.59,18.59,,,
0,N,Flour,3,1,After_drying,11,10,Color,59.69,1.79,19.13,,,
0,N,Flour,3,2,After_drying,11,10,Color,59.48,1.84,19.27,,,
0,Y,Seed,NA,1,D0_seed,39,0,Color,48.1,5.96,25.62,,,
0,Y,Seed,NA,1,D0_seed,21,0,Color,47.83,5.76,25.36,,,
0,Y,Seed,NA,1,D0_seed,11,0,Color,49.94,4.98,23.53,,,
0,Y,Flour,NA,1,D0_fresh_flour,39,0,Color,57.95,1.34,18.74,,,
0,Y,Flour,NA,1,D0_fresh_flour,21,0,Color,59.11,1.16,18.47,,,
0,Y,Flour,NA,1,D0_fresh_flour,11,0,Color,61.27,1.17,18.31,,,
12,Y,Flour,NA,1,D12,11,0,Color,58.35,1.36,18.3,,,
12,Y,Flour,NA,2,D12,11,0,Color,58.37,1.34,18.21,,,
12,N,Flour,1,1,D12,11,5,Color,56.01,1.63,16.33,,,
12,N,Flour,1,2,D12,11,5,Color,54.92,3.04,19.53,,,
